bankN,USDBuy,USDSell,EURBuy,EURSell,RUBBuy,RUBSell,KZTBuy,KZTSell
"ОАО ""Дос-Кредобанк""",84.75,84.90,102.00,103.50,1.110,1.130,0.1900,0.2070
"ОАО ""Керемет Банк""",84.50,84.90,101.80,103.30,1.110,1.135,0.1900,0.2100
"ОАО ""РСК Банк""",84.50,84.90,101.70,103.20,1.107,1.135,0.1800,0.2100
"ОАО Банк ""Бай-Tушум""",84.70,84.90,102.10,103.50,1.115,1.140,0.1900,0.2100
"ОАО ""ФинансКредитБанк КАБ""",84.75,84.90,101.70,103.20,1.110,1.135,0.1850,0.2050
MCS,84.80,84.95,102.70,103.20,1.117,1.124,0.2000,0.2030
"ОАО ""Кыргызкоммерцбанк""",84.75,84.90,102.00,103.50,1.113,1.140,0.1900,0.2100
"ЗАО ""Демир Кыргыз Интернэшнл Банк""",84.50,84.90,102.00,103.50,1.110,1.140,0.1850,0.2100
"ОАО РК ""Аманбанк""",84.70,84.90,102.00,103.50,1.112,1.140,0.1700,0.2100
"ЗАО ""ЭкоИсламикБанк""",84.70,84.90,102.20,103.70,1.115,1.140,0.1800,0.2050
"ОАО ""БАКАЙ БАНК""",84.75,84.90,102.30,103.50,1.118,1.135,0.1900,0.2100
"ЗАО ""Банк Азии""",84.75,84.90,102.00,103.50,1.118,1.138,0.1900,0.2050
"ОАО ""Халык Банк Кыргызстан""",84.75,84.90,102.20,103.70,1.118,1.142,0.1910,0.2100
"ОАО ""Оптима Банк""",84.70,84.90,102.00,103.50,1.118,1.135,0.1900,0.2100
"ЗАО ""Банк Компаньон""",84.75,84.90,101.90,103.40,1.115,1.135,0.1850,0.2100
"ОАО ""Айыл Банк""",84.75,84.90,102.20,103.70,1.115,1.135,0.1850,0.2080
"""АЮ гранд   комфорт""",84.70,84.88,102.50,103.50,1.115,1.130,0.1980,0.2050
"ЗАО ""KICB""",84.60,84.90,102.00,103.50,1.110,1.130,0.1900,0.2080
"ЗАО ""Кыргызско-Швейцарский Банк""",84.60,84.90,102.00,103.50,1.110,1.140,0.1800,0.2100
"АКБ ""Толубай""",84.50,84.90,102.00,103.50,1.110,1.160,0.1700,0.2100
"ОАО ""КБ КЫРГЫЗСТАН""",84.75,84.90,102.50,104.00,1.112,1.150,0.1800,0.2100
"ОАО МФК ""Салым Финанс""",84.70,84.90,102.00,103.40,1.110,1.130,0.1900,0.2080
"ОАО ""Евразийский Сберегательный Банк""",84.60,84.90,102.00,103.50,1.100,1.135,0.1750,0.2150
bankN,USDBuy,USDSell,EURBuy,EURSell,RUBBuy,RUBSell,KZTBuy,KZTSell
"ОАО ""Дос-Кредобанк""",84.75,84.90,102.00,103.50,1.110,1.130,0.1900,0.2070
"ОАО ""Керемет Банк""",84.50,84.90,101.80,103.30,1.110,1.135,0.1900,0.2100
"ОАО ""РСК Банк""",84.50,84.90,101.70,103.20,1.107,1.135,0.1800,0.2100
"ОАО Банк ""Бай-Tушум""",84.70,84.90,102.10,103.50,1.115,1.140,0.1900,0.2100
"ОАО ""ФинансКредитБанк КАБ""",84.75,84.90,101.70,103.20,1.110,1.135,0.1850,0.2050
MCS,84.80,84.95,102.70,103.20,1.117,1.124,0.2000,0.2030
"ОАО ""Кыргызкоммерцбанк""",84.75,84.90,102.00,103.50,1.113,1.140,0.1900,0.2100
"ЗАО ""Демир Кыргыз Интернэшнл Банк""",84.50,84.90,102.00,103.50,1.110,1.140,0.1850,0.2100
"ОАО РК ""Аманбанк""",84.70,84.90,102.00,103.50,1.112,1.140,0.1700,0.2100
"ЗАО ""ЭкоИсламикБанк""",84.70,84.90,102.20,103.70,1.115,1.140,0.1800,0.2050
"ОАО ""БАКАЙ БАНК""",84.75,84.90,102.30,103.50,1.118,1.135,0.1900,0.2100
"ЗАО ""Банк Азии""",84.75,84.90,102.00,103.50,1.118,1.138,0.1900,0.2050
"ОАО ""Халык Банк Кыргызстан""",84.75,84.90,102.20,103.70,1.118,1.142,0.1910,0.2100
"ОАО ""Оптима Банк""",84.70,84.90,102.00,103.50,1.118,1.135,0.1900,0.2100
"ЗАО ""Банк Компаньон""",84.75,84.90,101.90,103.40,1.115,1.135,0.1850,0.2100
"ОАО ""Айыл Банк""",84.75,84.90,102.20,103.70,1.115,1.135,0.1850,0.2080
"""АЮ гранд   комфорт""",84.70,84.88,102.50,103.50,1.115,1.130,0.1980,0.2050
"ЗАО ""KICB""",84.60,84.90,102.00,103.50,1.110,1.130,0.1900,0.2080
"ЗАО ""Кыргызско-Швейцарский Банк""",84.60,84.90,102.00,103.50,1.110,1.140,0.1800,0.2100
"АКБ ""Толубай""",84.50,84.90,102.00,103.50,1.110,1.160,0.1700,0.2100
"ОАО ""КБ КЫРГЫЗСТАН""",84.75,84.90,102.50,104.00,1.112,1.150,0.1800,0.2100
"ОАО МФК ""Салым Финанс""",84.70,84.90,102.00,103.40,1.110,1.130,0.1900,0.2080
"ОАО ""Евразийский Сберегательный Банк""",84.60,84.90,102.00,103.50,1.100,1.135,0.1750,0.2150
